Step;Zone;Étape;Type;Tâche;Statut;Responsable;Date Butoire;Date début;Date fin;Blocants;Task Dependency;Qty;Note;Fournisseurs;Question
2;Balcon 2e;Pre-Prod;Logistique;Livraison des Echaffauds ;Fait;max;46230;2026-07-27;2026-07-27;;;0,5;;;
2;Balcon Gen;Démolition;Location;Réserver conteneur Express Bac;Fait;Max;46230;2026-07-20;2026-07-20;Client doit s'en occuper;;;;express bac;Combien temps a veux payer le conteneur sur le site & a-t-on soumissionné ailleur que express bac ? 
2;Balcon 2e;Réalisation;Action;Structure bois balcon 2e;Fait;JD + Yves + Max;;2026-07-28;2026-07-28;;;1;;;
2;Balcon 2e;Réalisation;Action;Installation colonnes Acier Galvaniser;Fait;Max, Yves, JD;;2026-07-28;2026-07-28;🚫 Dépend Corbec + preprod;Preprod Soudure;;;;
2;Balcon 2e;Pre-Prod;Achat;lame saw all à métal;Fait;JD + Yves + Max;46230;;;;;1;;Premier tool;
2;Balcon 2e;Pre-Prod;Achat;Mortier Blanc;Fait;JD + Yves + Max;46230;;;;;1;;Maconnex;
2;Balcon 2e;Pre-Prod;Achat;Lame grinder;Fait;JD + Yves + Max;46230;;;;;1;;Canadian tire;
2;Balcon 2e;Pre-Prod;Achat;Sonotube;Fait;JD + Yves + Max;46230;;;;;1;"6""";Canac;
2;Balcon 2e;Pre-Prod;Achat;3/4 net;À faire;JD + Yves + Max;46230;;;;;1;;Canac;
2;Balcon 2e;Pre-Prod;Achat;Boite de clou;Fait;JD + Yves + Max;46230;;;;;1;barre pour fusil;Canac;
2;Balcon 2e;Pre-Prod;Achat;2x10 8';Fait;JD + Yves + Max;46230;;;;;9;Solive balcon 2e;Canac;
2;Balcon 2e;Pre-Prod;Achat;2x10 12';Fait;JD + Yves + Max;46230;;;;;3;Solive de rive et entretoise;Canac;
2;Balcon 2e;Pre-Prod;Achat;Fourrure 10';Fait;JD + Yves + Max;46230;;;;;6;Fond de clouage soffite;Canac;
2;Balcon 2e;Pre-Prod;Achat;Ply 3/4 ;Fait;JD + Yves + Max;46230;;;;;11;335 pi carré;Canac;
2;Balcon 2e;Pre-Prod;Achat;Ply 1/2;Fait;JD + Yves + Max;46230;;;;;11;335 pi carré;Canac;
2;Balcon 2e;Pre-Prod;Achat;ancrage 1/2 à béton;Fait;JD + Yves + Max;46230;;;;;4;boite de 15;Canac;
2;Balcon 2e;Pre-Prod;Location;Location Terriere Sonotube;Fait;max;;2026-06-20;2026-06-20;;;0;;Simplex;
3;Balcon RDC;Réalisation;Action;Structure bois balcon RDC;Fait;max yves jd;;2026-07-31;2026-07-31;;;1;;;
3;Balcon RDC;Démolition;Action;Démolition balcon RDC (toit garage);Fait;JD + Yves Max;;2026-07-29;2026-07-29;;;1;;;
3;Balcon RDC;Pre-Prod;Logistique;livraison Bois;Fait;Max;46230;2026-07-27;2026-07-27;;;;;;Peut-on se faire livrer avec un compte
3;Balcon RDC;Pre-Prod;Achat;LVL 9 1/2 24';Fait;JD;46232;;;;;2;;Canac;
3;Balcon RDC;Pre-Prod;Achat;LVL 9 1/2 12';Fait;JD + Yves + Max;46232;;;;;2;au moins 11;Canac;
3;Balcon RDC;Pre-Prod;Achat;Poutrelle en i 9 1/2 24';Fait;JD + Yves + Max;46232;;;;;9;au moins 24';Canac;
3;Balcon RDC;Pre-Prod;Achat;Poutrelle en i 9 1/2 16';Fait;JD + Yves + Max;46232;;;;;2;;Canac;
3;Balcon RDC;Pre-Prod;Achat;vis structurale;Fait;JD + Yves + Max;46232;;;;;1;pour les étriers;Canac;
3;Balcon RDC;Pre-Prod;Achat;étrier;Fait;JD + Yves + Max;46232;;;;;18;pour les poutrelle en i ;Canac;
3;Balcon RDC;Pre-Prod;Achat;boite de vis traité;Fait;JD + Yves + Max;46232;;;;;2;2 po;Canac;
3;Balcon RDC;Pre-Prod;Achat;2x 12 10';Fait;JD + Yves + Max;46232;;;;;1;limon escalier RDC;Canac;
3;Balcon RDC;Pre-Prod;Achat;"Noue 6""";Fait;JD + Yves + Max;46232;;;;;5;étenchiité balcon contre le mur;Canac;
3;Balcon RDC;Démolition;Location;Location Scie a Beton Simplex ;Fait;Max;;2026-06-20;2026-06-20;;;;;Simplex;
4;Fibre de verre;Finitions;Action;Préparation surface — Bondo;À faire;JD + Yves + Max + Marc;;2026-08-01;2026-08-12;Après structure bois;;;;;
4;Fibre de verre;Finitions;Action;Application fibre de verre (4 jours);À faire;JD + Yves + Max + Marc;;2026-08-01;2026-08-12;Météo sensible — prévoir abri;;;;;
4;Fibre de verre;Pre-Prod;Achat;Commander ensemble fibre 370 pi² ;À faire;JD + Yves + Max;46235;;;;;1;350 pied carré;Lab. St-Antoine;Doit-on commander d'avance ?
4;Fibre de verre;Pre-Prod;Achat;Bondo ;À faire;JD + Yves + Max;46235;;;;;8;préparation de surface;canadian tire;
4;Fibre de verre;Pre-Prod;Achat;Combinaison de peintre;À faire;JD + Yves + Max;46235;;;;;8;;canac;
4;Fibre de verre;Pre-Prod;Achat;gant L nitrile;À faire;JD + Yves + Max;46235;;;;;2;;canac;
4;Fibre de verre;Pre-Prod;Achat;bâche 8x10;Fait;JD + Yves + Max;46235;;;;;5;;canac;
4;Fibre de verre;Pre-Prod;Achat;bâche 24x36;Fait;JD + Yves + Max;46235;;;;;1;Pour abris;canadian rire;
5;Finitions;Finitions;Action;Installation clôtures métalliques galvanisées;À faire;JD + Jeff;;2026-08-13;2026-08-28;;;;;;
5;Finitions;Finitions;Action;Installation marches (21 marches — 2x10);À faire;JD + Yves + +1;;2026-08-13;2026-08-28;;;;;;
5;Finitions ;Finitions;Action;Mur intimité (1x6);À faire;JD + Yves + +1;;2026-08-13;2026-08-28;;;;;;
5;Finitions;Pre-Prod;Achat;Soffite + J;À faire;JD + Yves + Max;À Valider;;;Valider couleur avant commande;;;Valider couleur;canac;
5;Finitions;Pre-Prod;Achat;Silicone + calfeutrage;À faire;JD + Yves + Max;À Valider;;;Valider couleur;;;;canac;
5;Finitions;Pre-Prod;Achat;1x3 12' pour RDC;À faire;JD + Yves + Max;À Valider;;;;;18;;canac;
5;Finitions;Pre-Prod;Achat;tire fond 2 1/2;Fait;JD + Yves + Max;À Valider;;;;;56;;canac;
5;Finitions;Pre-Prod;Achat;vis de couleur;Fait;JD + Yves + Max;À Valider;;;;;700;;canac;
5;Finitions;Pre-Prod;Location;Plieuse;À faire;JD + Yves + Max;À Valider;;;;;;;Simplex;Pourquoi ? 
5;Finitions;Pre-Prod;Location;Coupeuse Alu;À faire;JD + Yves + Max;À Valider;;;;;;;Simplex;Pourquoi?
5;Finitions;Pre-Prod;Achat;2x10x10;À faire;;À Valider;;;;;7;21 marches;canac;
5;Finitions;Pre-prod;Achat;allu;À faire;;À Valider;;;;;1;à voir la couleur;;De quoi on parle ?
